State,County,Year,Poverty Rate
Minnesota,Clearwater County,2012,15.0
Minnesota,Clearwater County,2011,15.11
Minnesota,Clearwater County,2010,15.11
Minnesota,Clearwater County,2009,15.11
Minnesota,Cook County,2018,15.11
Minnesota,Cook County,2017,12.95
Minnesota,Cook County,2016,12.15
Minnesota,Cook County,2015,11.52
Minnesota,Cook County,2014,11.42
Minnesota,Cook County,2013,11.42
Minnesota,Cook County,2012,9.73
Minnesota,Cook County,2011,9.77
Minnesota,Cook County,2010,9.77
Minnesota,Cook County,2009,9.77
Minnesota,Cottonwood County,2018,18.82
Minnesota,Cottonwood County,2017,12.47
Minnesota,Cottonwood County,2016,12.47
Minnesota,Cottonwood County,2015,12.47
Minnesota,Cottonwood County,2014,12.47
Minnesota,Cottonwood County,2013,12.47
Minnesota,Cottonwood County,2012,12.47
Minnesota,Cottonwood County,2011,12.47
Minnesota,Cottonwood County,2010,12.47
Minnesota,Cottonwood County,2009,12.47
Minnesota,Crow Wing County,2018,12.47
Minnesota,Crow Wing County,2017,12.47
Minnesota,Crow Wing County,2016,12.47
Minnesota,Crow Wing County,2015,12.47
Minnesota,Crow Wing County,2014,12.47
Minnesota,Crow Wing County,2013,12.47
Minnesota,Crow Wing County,2012,12.47
Minnesota,Crow Wing County,2011,12.47
Minnesota,Crow Wing County,2010,12.47
Minnesota,Crow Wing County,2009,12.47
Minnesota,Dakota County,2018,12.47
Minnesota,Dakota County,2017,12.47
Minnesota,Dakota County,2016,12.47
Minnesota,Dakota County,2015,12.47
Minnesota,Dakota County,2014,12.47
Minnesota,Dakota County,2013,12.47
Minnesota,Dakota County,2012,12.47
Minnesota,Dakota County,2011,12.47
Minnesota,Dakota County,2010,12.47
Minnesota,Dakota County,2009,12.47
Minnesota,Dodge County,2018,12.47
Minnesota,Dodge County,2017,12.47
Minnesota,Dodge County,2016,12.47
Minnesota,Dodge County,2015,12.47
Minnesota,Dodge County,2014,12.47
Minnesota,Dodge County,2013,12.47
Minnesota,Dodge County,2012,12.47
Minnesota,Dodge County,2011,12.47
Minnesota,Dodge County,2010,12.47
Minnesota,Dodge County,2009,12.47
Minnesota,Douglas County,2018,12.47
Minnesota,Douglas County,2017,12.47
Minnesota,Douglas County,2016,12.47
Minnesota,Douglas County,2015,12.47
Minnesota,Douglas County,2014,12.47
Minnesota,Douglas County,2013,12.47
Minnesota,Douglas County,2012,12.47
Minnesota,Douglas County,2011,12.47
Minnesota,Douglas County,2010,12.47
Minnesota,Douglas County,2009,12.47
Minnesota,Faribault County,2018,12.47
Minnesota,Faribault County,2017,12.47
Minnesota,Faribault County,2016,12.47
Minnesota,Faribault County,2015,12.47
Minnesota,Faribault County,2014,12.47
Minnesota,Faribault County,2013,12.47
Minnesota,Faribault County,2012,16.1
Minnesota,Faribault County,2011,12.77
Minnesota,Faribault County,2010,12.77
Minnesota,Faribault County,2009,12.77
Minnesota,Fillmore County,2018,12.77
Minnesota,Fillmore County,2017,11.29
Minnesota,Fillmore County,2016,11.48
Minnesota,Fillmore County,2015,11.2
Minnesota,Fillmore County,2014,11.15
Minnesota,Fillmore County,2013,11.15
Minnesota,Fillmore County,2012,12.84
Minnesota,Fillmore County,2011,12.86
Minnesota,Fillmore County,2010,12.86
Minnesota,Fillmore County,2009,12.86
Minnesota,Freeborn County,2018,12.86
Minnesota,Freeborn County,2017,11.83
Minnesota,Freeborn County,2016,11.33
Minnesota,Freeborn County,2015,12.03
Minnesota,Freeborn County,2014,12.11
Minnesota,Freeborn County,2013,11.21
Minnesota,Freeborn County,2012,11.68
Minnesota,Freeborn County,2011,11.76
